EXTERNAL,1,2.000000,1077342627
EXTERNAL,2,2.000000,845720767
EXTERNAL,4,2.012557,715644730
EXTERNAL,8,2.001335,505996150
EXTERNAL,16,2.000000,297073123
EXTERNAL,32,2.000000,146622891
EXTERNAL,64,2.000000,82785877
EXTERNAL,128,2.000000,46792866
EXTERNAL,256,2.000000,27299098
EXTERNAL,512,2.005412,13781201
MALLOC,1,2.000000,174164786
MALLOC,2,2.000000,192486459
MALLOC,4,2.008625,196356053
MALLOC,8,2.003899,169032185
MALLOC,16,2.008909,153702629
MALLOC,32,2.004906,121257945
MALLOC,64,2.000000,73856693
MALLOC,128,2.000000,48594893
MALLOC,256,2.000000,20847560
MALLOC,512,2.000000,13185965
DYNAMIC,1,2.000000,711404802
DYNAMIC,2,2.000338,662431714
DYNAMIC,4,2.000000,542403545
DYNAMIC,8,2.000000,409670050
DYNAMIC,16,2.000000,299669745
DYNAMIC,32,2.004600,170368934
DYNAMIC,64,2.000000,93589485
DYNAMIC,128,2.000000,47210908
DYNAMIC,256,2.000000,21444315
DYNAMIC,512,2.000000,12878357
STACK,1,2.000000,685595542
STACK,2,2.000000,687218606
STACK,4,2.000000,551089239
STACK,8,2.000000,423535453
STACK,16,2.013985,295279135
STACK,32,2.000000,166237941
STACK,64,2.000000,92202502
STACK,128,2.000688,52847882
STACK,256,2.000000,26174016
STACK,512,2.000000,13741125
EXTERNAL,1,2.000000,1160268532
EXTERNAL,2,2.000000,1176865277
EXTERNAL,4,2.000000,899489459
EXTERNAL,8,2.000838,595585769
EXTERNAL,16,2.006351,380757413
EXTERNAL,32,2.000000,157952548
EXTERNAL,64,2.000000,101515035
EXTERNAL,128,2.000000,55933528
EXTERNAL,256,2.007060,29608554
EXTERNAL,512,2.000000,15013195
MALLOC,1,2.000000,239772723
MALLOC,2,2.000000,218254808
MALLOC,4,2.001493,221817144
MALLOC,8,2.000000,195310798
MALLOC,16,2.000000,162946456
MALLOC,32,2.013678,129071773
MALLOC,64,2.000000,77561957
MALLOC,128,2.000000,49013522
MALLOC,256,2.000000,19891042
MALLOC,512,2.000000,12742191
DYNAMIC,1,2.000000,829282933
DYNAMIC,2,2.000000,793615653
DYNAMIC,4,2.000000,667888799
DYNAMIC,8,2.000000,516753737
DYNAMIC,16,2.000000,336023453
DYNAMIC,32,2.000000,184328394
DYNAMIC,64,2.000102,98484750
DYNAMIC,128,2.000000,48924266
DYNAMIC,256,2.000000,22037988
DYNAMIC,512,2.000000,13615360
STACK,1,2.001611,901086089
STACK,2,2.000000,828762642
STACK,4,2.000000,696732983
STACK,8,2.004673,542523802
STACK,16,2.000000,353303658
STACK,32,2.000000,192616596
STACK,64,2.000000,98847771
STACK,128,2.000000,54785628
STACK,256,2.000000,29137578
STACK,512,2.000000,14846607
EXTERNAL,1,2.000000,1137094133
EXTERNAL,2,2.000000,1026551460
EXTERNAL,4,2.003069,826581410
EXTERNAL,8,2.000000,505940654
EXTERNAL,16,2.000000,330002696
EXTERNAL,32,2.000000,158022560
EXTERNAL,64,2.000000,91561282
EXTERNAL,128,2.000000,53460227
EXTERNAL,256,2.001272,26265480
EXTERNAL,512,2.000000,14923475
MALLOC,1,2.000000,210723887
MALLOC,2,2.000000,203624504
MALLOC,4,2.000000,201375368
MALLOC,8,2.000000,170340859
MALLOC,16,2.004170,151428876
MALLOC,32,2.000000,114703529
MALLOC,64,2.000000,74511889
MALLOC,128,2.000000,48022553
MALLOC,256,2.000000,20965811
MALLOC,512,2.000000,12885968
DYNAMIC,1,2.000000,729756069
DYNAMIC,2,2.000000,681985555
DYNAMIC,4,2.000000,590883991
DYNAMIC,8,2.000000,455270856
DYNAMIC,16,2.000000,287521030
DYNAMIC,32,2.000000,177196544
DYNAMIC,64,2.000000,94876965
DYNAMIC,128,2.000000,46206760
DYNAMIC,256,2.000000,22742613
DYNAMIC,512,2.000000,12859815
STACK,1,2.000000,695788222
STACK,2,2.007901,585776492
STACK,4,2.000000,513985125
STACK,8,2.000000,416569064
STACK,16,2.000000,313182502
STACK,32,2.000000,149769160
STACK,64,2.000000,92772484
STACK,128,2.000000,54013860
STACK,256,2.000000,30065542
STACK,512,2.000000,15151429
EXTERNAL,1,2.000000,803883238
EXTERNAL,2,2.000000,575907961
EXTERNAL,4,2.001498,253360206
EXTERNAL,8,2.000000,240362742
EXTERNAL,16,2.000000,219228607
EXTERNAL,32,2.000000,142622344
EXTERNAL,64,2.000000,85315817
EXTERNAL,128,2.003500,53594949
EXTERNAL,256,2.000000,29729317
EXTERNAL,512,2.000000,15665893
MALLOC,1,2.001717,158917279
MALLOC,2,2.000000,173414702
MALLOC,4,2.000000,143280977
MALLOC,8,2.000000,125156878
MALLOC,16,2.002585,129876596
MALLOC,32,2.006884,92580279
MALLOC,64,2.000000,66100395
MALLOC,128,2.000000,45898373
MALLOC,256,2.000000,22251406
MALLOC,512,2.000000,12558937
DYNAMIC,1,2.000000,332042872
DYNAMIC,2,2.000000,369512805
DYNAMIC,4,2.000000,378142464
DYNAMIC,8,2.000000,213721425
DYNAMIC,16,2.000000,140472651
DYNAMIC,32,2.002932,142380697
DYNAMIC,64,2.014892,88987351
DYNAMIC,128,2.000000,45338849
DYNAMIC,256,2.000000,21722081
DYNAMIC,512,2.000000,13071583
STACK,1,2.000000,234108847
STACK,2,2.000000,395270770
STACK,4,2.000000,327968276
STACK,8,2.000000,279830946
STACK,16,2.000000,206307857
STACK,32,2.007970,144061802
STACK,64,2.000000,86804254
STACK,128,2.000000,54732456
STACK,256,2.000000,28723039
STACK,512,2.000000,15231877
EXTERNAL,1,2.002496,557600716
EXTERNAL,2,2.000000,406066722
EXTERNAL,4,2.000000,584659347
EXTERNAL,8,2.000000,413905529
EXTERNAL,16,2.000000,200452636
EXTERNAL,32,2.000000,133085861
EXTERNAL,64,2.005405,90962311
EXTERNAL,128,2.000000,53219704
EXTERNAL,256,2.000000,28760338
EXTERNAL,512,2.003666,15460998
MALLOC,1,2.000881,139874965
MALLOC,2,2.009905,161942635
MALLOC,4,2.000000,148034933
MALLOC,8,2.000000,105888310
MALLOC,16,2.000000,98685473
MALLOC,32,2.006637,92090775
MALLOC,64,2.000000,70518078
MALLOC,128,2.000764,46358263
MALLOC,256,2.000000,21619206
MALLOC,512,2.008801,13574688
DYNAMIC,1,2.000000,386312576
DYNAMIC,2,2.000000,311439986
DYNAMIC,4,2.001738,278996482
DYNAMIC,8,2.000000,178544833
DYNAMIC,16,2.000000,197795048
DYNAMIC,32,2.000000,130580733
DYNAMIC,64,2.000000,87742272
DYNAMIC,128,2.000000,45788308
DYNAMIC,256,2.000000,22370889
DYNAMIC,512,2.014193,13286637
STACK,1,2.000000,421107073
STACK,2,2.000000,397706427
STACK,4,2.000000,364269522
STACK,8,2.000000,310983685
