EXTERNAL,1,0.000137s
EXTERNAL,2,0.000233s
EXTERNAL,4,0.000527s
EXTERNAL,8,0.002176s
EXTERNAL,16,0.004791s
EXTERNAL,32,0.014590s
EXTERNAL,64,0.029630s
EXTERNAL,128,0.067911s
EXTERNAL,256,0.163078s
EXTERNAL,512,0.615231s
MALLOC,1,0.000374s
MALLOC,2,0.000476s
MALLOC,4,0.000752s
MALLOC,8,0.002436s
MALLOC,16,0.005095s
MALLOC,32,0.014594s
MALLOC,64,0.029674s
MALLOC,128,0.067721s
MALLOC,256,0.165189s
MALLOC,512,0.599419s
DYNAMIC,1,0.000166s
DYNAMIC,2,0.000252s
DYNAMIC,4,0.000523s
DYNAMIC,8,0.002164s
DYNAMIC,16,0.004768s
DYNAMIC,32,0.014115s
DYNAMIC,64,0.030039s
DYNAMIC,128,0.069207s
DYNAMIC,256,0.172718s
DYNAMIC,512,0.620345s
STACK,1,0.000168s
STACK,2,0.000246s
STACK,4,0.000515s
STACK,8,0.002157s
STACK,16,0.004699s
STACK,32,0.014168s
STACK,64,0.029674s
STACK,128,0.067291s
STACK,256,0.165232s
STACK,512,0.604051s
EXTERNAL,1,0.000137s
EXTERNAL,2,0.000245s
EXTERNAL,4,0.000631s
EXTERNAL,8,0.001823s
EXTERNAL,16,0.005087s
EXTERNAL,32,0.013134s
EXTERNAL,64,0.033029s
EXTERNAL,128,0.067769s
EXTERNAL,256,0.167400s
EXTERNAL,512,0.623369s
MALLOC,1,0.000361s
MALLOC,2,0.000474s
MALLOC,4,0.000867s
MALLOC,8,0.002216s
MALLOC,16,0.005304s
MALLOC,32,0.013788s
MALLOC,64,0.034322s
MALLOC,128,0.068564s
MALLOC,256,0.162254s
MALLOC,512,0.617001s
DYNAMIC,1,0.000165s
DYNAMIC,2,0.000274s
DYNAMIC,4,0.000654s
DYNAMIC,8,0.001881s
DYNAMIC,16,0.004997s
DYNAMIC,32,0.012961s
DYNAMIC,64,0.032429s
DYNAMIC,128,0.068097s
DYNAMIC,256,0.166066s
DYNAMIC,512,0.616088s
STACK,1,0.000169s
STACK,2,0.000266s
STACK,4,0.000645s
STACK,8,0.001842s
STACK,16,0.004976s
STACK,32,0.012994s
STACK,64,0.032372s
STACK,128,0.068022s
