EXTERNAL,1,0.000153s
EXTERNAL,2,0.000217s
EXTERNAL,4,0.000535s
EXTERNAL,8,0.002272s
EXTERNAL,16,0.005771s
EXTERNAL,32,0.013880s
EXTERNAL,64,0.031889s
EXTERNAL,128,0.078373s
EXTERNAL,256,0.209626s
EXTERNAL,512,0.648684s
MALLOC,1,0.000407s
MALLOC,2,0.000480s
MALLOC,4,0.000733s
MALLOC,8,0.002434s
MALLOC,16,0.005985s
MALLOC,32,0.013534s
MALLOC,64,0.031998s
MALLOC,128,0.078874s
MALLOC,256,0.208899s
MALLOC,512,0.646105s
DYNAMIC,1,0.000599s
DYNAMIC,2,0.000498s
DYNAMIC,4,0.000758s
DYNAMIC,8,0.002316s
DYNAMIC,16,0.005898s
DYNAMIC,32,0.013553s
DYNAMIC,64,0.030916s
DYNAMIC,128,0.077957s
DYNAMIC,256,0.209105s
DYNAMIC,512,0.657216s
STACK,1,0.000214s
STACK,2,0.000289s
STACK,4,0.000557s
STACK,8,0.002213s
STACK,16,0.005844s
STACK,32,0.013740s
STACK,64,0.031340s
STACK,128,0.078894s
STACK,256,0.213064s
STACK,512,0.656347s
EXTERNAL,1,0.000153s
EXTERNAL,2,0.000219s
EXTERNAL,4,0.000546s
EXTERNAL,8,0.002054s
EXTERNAL,16,0.005836s
EXTERNAL,32,0.014052s
EXTERNAL,64,0.033398s
EXTERNAL,128,0.073308s
EXTERNAL,256,0.206435s
EXTERNAL,512,0.625670s
MALLOC,1,0.000451s
MALLOC,2,0.000477s
MALLOC,4,0.000744s
MALLOC,8,0.002278s
MALLOC,16,0.005998s
MALLOC,32,0.013644s
MALLOC,64,0.032743s
MALLOC,128,0.073614s
MALLOC,256,0.209553s
MALLOC,512,0.628917s
DYNAMIC,1,0.000669s
DYNAMIC,2,0.000498s
DYNAMIC,4,0.000762s
DYNAMIC,8,0.002185s
DYNAMIC,16,0.005954s
DYNAMIC,32,0.013680s
DYNAMIC,64,0.032461s
DYNAMIC,128,0.073559s
DYNAMIC,256,0.208725s
DYNAMIC,512,0.625459s
STACK,1,0.000214s
STACK,2,0.000290s
STACK,4,0.000568s
STACK,8,0.002093s
STACK,16,0.005741s
STACK,32,0.013659s
STACK,64,0.032603s
STACK,128,0.073265s
STACK,256,0.207020s
STACK,512,0.701380s
EXTERNAL,1,0.000166s
EXTERNAL,2,0.000245s
EXTERNAL,4,0.000669s
EXTERNAL,8,0.002564s
EXTERNAL,16,0.008114s
EXTERNAL,32,0.017441s
EXTERNAL,64,0.040641s
EXTERNAL,128,0.094900s
EXTERNAL,256,0.229253s
EXTERNAL,512,0.692360s
MALLOC,1,0.000403s
MALLOC,2,0.000494s
MALLOC,4,0.000821s
MALLOC,8,0.002367s
MALLOC,16,0.005946s
MALLOC,32,0.013499s
MALLOC,64,0.033551s
MALLOC,128,0.076667s
MALLOC,256,0.232365s
MALLOC,512,0.659556s
DYNAMIC,1,0.000595s
DYNAMIC,2,0.000526s
DYNAMIC,4,0.000824s
DYNAMIC,8,0.002408s
DYNAMIC,16,0.005664s
DYNAMIC,32,0.013818s
DYNAMIC,64,0.033531s
DYNAMIC,128,0.075883s
DYNAMIC,256,0.212748s
DYNAMIC,512,0.659343s
STACK,1,0.000222s
STACK,2,0.000323s
STACK,4,0.000669s
STACK,8,0.002243s
STACK,16,0.005788s
STACK,32,0.014344s
STACK,64,0.033411s
STACK,128,0.077859s
STACK,256,0.211395s
STACK,512,0.679444s
EXTERNAL,1,0.000153s
EXTERNAL,2,0.000236s
EXTERNAL,4,0.000622s
EXTERNAL,8,0.002074s
EXTERNAL,16,0.005376s
EXTERNAL,32,0.014164s
EXTERNAL,64,0.032033s
EXTERNAL,128,0.073766s
EXTERNAL,256,0.214095s
EXTERNAL,512,0.678764s
MALLOC,1,0.000404s
MALLOC,2,0.000491s
MALLOC,4,0.000825s
MALLOC,8,0.002303s
MALLOC,16,0.005511s
MALLOC,32,0.013825s
MALLOC,64,0.031553s
MALLOC,128,0.075554s
MALLOC,256,0.214323s
MALLOC,512,0.669399s
DYNAMIC,1,0.000624s
DYNAMIC,2,0.000522s
DYNAMIC,4,0.000821s
DYNAMIC,8,0.002240s
DYNAMIC,16,0.005467s
DYNAMIC,32,0.013468s
DYNAMIC,64,0.032425s
DYNAMIC,128,0.074998s
DYNAMIC,256,0.216055s
DYNAMIC,512,0.661320s
STACK,1,0.000214s
STACK,2,0.000312s
STACK,4,0.000644s
STACK,8,0.002137s
STACK,16,0.005382s
STACK,32,0.013346s
STACK,64,0.031627s
STACK,128,0.081158s
STACK,256,0.221316s
STACK,512,0.659824s
EXTERNAL,1,0.000153s
EXTERNAL,2,0.000219s
EXTERNAL,4,0.000629s
EXTERNAL,8,0.002115s
EXTERNAL,16,0.005285s
EXTERNAL,32,0.015432s
EXTERNAL,64,0.034419s
EXTERNAL,128,0.083173s
EXTERNAL,256,0.210212s
EXTERNAL,512,0.671694s
MALLOC,1,0.000420s
MALLOC,2,0.000494s
MALLOC,4,0.000849s
MALLOC,8,0.002447s
MALLOC,16,0.005741s
MALLOC,32,0.016460s
MALLOC,64,0.037942s
MALLOC,128,0.083137s
MALLOC,256,0.220006s
MALLOC,512,0.735622s
DYNAMIC,1,0.000648s
