EXTERNAL,1,0.000135s
EXTERNAL,2,0.000201s
EXTERNAL,4,0.000463s
EXTERNAL,8,0.002060s
EXTERNAL,16,0.005186s
EXTERNAL,32,0.012688s
EXTERNAL,64,0.031326s
EXTERNAL,128,0.073895s
EXTERNAL,256,0.208804s
EXTERNAL,512,0.642895s
MALLOC,1,0.000367s
MALLOC,2,0.000450s
MALLOC,4,0.000674s
MALLOC,8,0.002295s
MALLOC,16,0.005414s
MALLOC,32,0.013045s
MALLOC,64,0.031741s
MALLOC,128,0.074577s
MALLOC,256,0.211352s
MALLOC,512,0.630205s
DYNAMIC,1,0.000159s
DYNAMIC,2,0.000230s
DYNAMIC,4,0.000477s
DYNAMIC,8,0.001988s
DYNAMIC,16,0.005030s
DYNAMIC,32,0.012389s
DYNAMIC,64,0.030854s
DYNAMIC,128,0.071914s
DYNAMIC,256,0.202432s
DYNAMIC,512,0.637694s
STACK,1,0.000202s
STACK,2,0.000248s
STACK,4,0.000485s
STACK,8,0.002064s
STACK,16,0.005233s
STACK,32,0.012815s
STACK,64,0.031248s
STACK,128,0.073753s
STACK,256,0.208474s
STACK,512,0.643565s
EXTERNAL,1,0.000257s
EXTERNAL,2,0.000213s
EXTERNAL,4,0.000404s
EXTERNAL,8,0.001963s
EXTERNAL,16,0.004684s
EXTERNAL,32,0.012980s
EXTERNAL,64,0.030745s
EXTERNAL,128,0.072919s
EXTERNAL,256,0.209896s
EXTERNAL,512,0.634552s
MALLOC,1,0.000352s
MALLOC,2,0.000444s
MALLOC,4,0.000614s
MALLOC,8,0.002113s
MALLOC,16,0.004718s
MALLOC,32,0.012622s
MALLOC,64,0.030391s
MALLOC,128,0.071111s
MALLOC,256,0.202516s
MALLOC,512,0.623004s
DYNAMIC,1,0.000160s
DYNAMIC,2,0.000248s
DYNAMIC,4,0.000417s
DYNAMIC,8,0.001908s
DYNAMIC,16,0.004522s
DYNAMIC,32,0.012489s
DYNAMIC,64,0.029177s
DYNAMIC,128,0.071187s
DYNAMIC,256,0.202631s
DYNAMIC,512,0.625194s
STACK,1,0.000185s
STACK,2,0.000251s
STACK,4,0.000425s
STACK,8,0.001903s
STACK,16,0.004510s
STACK,32,0.012516s
STACK,64,0.029615s
STACK,128,0.070751s
STACK,256,0.201805s
STACK,512,0.624988s
EXTERNAL,1,0.000130s
EXTERNAL,2,0.000206s
EXTERNAL,4,0.000391s
EXTERNAL,8,0.002037s
EXTERNAL,16,0.004710s
EXTERNAL,32,0.012976s
EXTERNAL,64,0.029367s
EXTERNAL,128,0.077222s
EXTERNAL,256,0.203495s
EXTERNAL,512,0.631095s
MALLOC,1,0.000352s
MALLOC,2,0.000449s
MALLOC,4,0.000608s
MALLOC,8,0.002205s
MALLOC,16,0.004784s
MALLOC,32,0.012976s
MALLOC,64,0.029293s
MALLOC,128,0.076459s
MALLOC,256,0.200698s
MALLOC,512,0.639105s
DYNAMIC,1,0.000159s
DYNAMIC,2,0.000245s
DYNAMIC,4,0.000424s
DYNAMIC,8,0.002044s
DYNAMIC,16,0.004628s
DYNAMIC,32,0.012667s
DYNAMIC,64,0.029084s
DYNAMIC,128,0.076660s
DYNAMIC,256,0.201353s
DYNAMIC,512,0.632849s
STACK,1,0.000184s
STACK,2,0.000250s
STACK,4,0.000422s
STACK,8,0.002008s
STACK,16,0.004592s
STACK,32,0.012616s
STACK,64,0.029413s
STACK,128,0.076891s
STACK,256,0.200456s
STACK,512,0.633834s
EXTERNAL,1,0.000129s
EXTERNAL,2,0.000206s
EXTERNAL,4,0.000490s
EXTERNAL,8,0.001532s
EXTERNAL,16,0.005769s
EXTERNAL,32,0.012164s
EXTERNAL,64,0.029405s
EXTERNAL,128,0.074274s
EXTERNAL,256,0.204831s
EXTERNAL,512,0.636221s
MALLOC,1,0.000401s
MALLOC,2,0.000444s
MALLOC,4,0.000703s
MALLOC,8,0.001748s
MALLOC,16,0.005973s
MALLOC,32,0.012199s
MALLOC,64,0.029600s
MALLOC,128,0.075182s
MALLOC,256,0.206058s
MALLOC,512,0.634034s
DYNAMIC,1,0.000159s
DYNAMIC,2,0.000244s
DYNAMIC,4,0.000536s
DYNAMIC,8,0.001524s
DYNAMIC,16,0.005735s
DYNAMIC,32,0.011900s
DYNAMIC,64,0.029728s
DYNAMIC,128,0.077619s
DYNAMIC,256,0.206125s
DYNAMIC,512,0.639813s
STACK,1,0.000186s
STACK,2,0.000249s
STACK,4,0.000523s
STACK,8,0.001498s
STACK,16,0.006033s
STACK,32,0.011893s
STACK,64,0.029786s
STACK,128,0.073941s
STACK,256,0.203635s
STACK,512,0.637412s
EXTERNAL,1,0.000164s
EXTERNAL,2,0.000209s
EXTERNAL,4,0.000466s
EXTERNAL,8,0.001913s
EXTERNAL,16,0.005643s
EXTERNAL,32,0.013747s
EXTERNAL,64,0.031699s
EXTERNAL,128,0.071430s
EXTERNAL,256,0.198196s
EXTERNAL,512,0.615211s
MALLOC,1,0.000353s
MALLOC,2,0.000427s
MALLOC,4,0.000687s
MALLOC,8,0.002164s
MALLOC,16,0.005761s
MALLOC,32,0.013776s
MALLOC,64,0.032771s
MALLOC,128,0.073924s
MALLOC,256,0.196022s
MALLOC,512,0.620918s
DYNAMIC,1,0.000161s
DYNAMIC,2,0.000231s
DYNAMIC,4,0.000510s
DYNAMIC,8,0.001977s
DYNAMIC,16,0.005646s
DYNAMIC,32,0.013574s
DYNAMIC,64,0.031236s
DYNAMIC,128,0.074814s
DYNAMIC,256,0.197762s
DYNAMIC,512,0.615644s
STACK,1,0.000185s
STACK,2,0.000239s
STACK,4,0.000489s
STACK,8,0.001921s
STACK,16,0.005590s
STACK,32,0.013519s
STACK,64,0.031055s
STACK,128,0.072598s
STACK,256,0.197327s
STACK,512,0.622142s
EXTERNAL,1,0.000130s
EXTERNAL,2,0.000205s
EXTERNAL,4,0.000516s
EXTERNAL,8,0.001773s
EXTERNAL,16,0.005017s
EXTERNAL,32,0.013277s
EXTERNAL,64,0.028909s
EXTERNAL,128,0.067884s
EXTERNAL,256,0.205754s
EXTERNAL,512,0.614658s
MALLOC,1,0.000402s
MALLOC,2,0.000443s
MALLOC,4,0.000734s
MALLOC,8,0.001988s
MALLOC,16,0.005588s
MALLOC,32,0.013893s
MALLOC,64,0.029912s
MALLOC,128,0.070178s
MALLOC,256,0.208183s
MALLOC,512,0.613758s
DYNAMIC,1,0.000160s
DYNAMIC,2,0.000248s
DYNAMIC,4,0.000552s
DYNAMIC,8,0.001803s
DYNAMIC,16,0.005029s
DYNAMIC,32,0.013060s
DYNAMIC,64,0.029053s
DYNAMIC,128,0.068673s
DYNAMIC,256,0.207736s
DYNAMIC,512,0.616187s
STACK,1,0.000183s
STACK,2,0.000253s
STACK,4,0.000543s
STACK,8,0.001798s
STACK,16,0.005013s
STACK,32,0.013122s
STACK,64,0.028940s
STACK,128,0.068004s
STACK,256,0.205632s
STACK,512,0.618248s
EXTERNAL,1,0.000130s
EXTERNAL,2,0.000194s
EXTERNAL,4,0.000549s
EXTERNAL,8,0.002085s
EXTERNAL,16,0.005254s
EXTERNAL,32,0.012896s
EXTERNAL,64,0.029190s
EXTERNAL,128,0.071306s
EXTERNAL,256,0.209066s
EXTERNAL,512,0.606344s
MALLOC,1,0.000357s
MALLOC,2,0.000428s
MALLOC,4,0.000748s
MALLOC,8,0.002056s
MALLOC,16,0.005446s
MALLOC,32,0.013064s
MALLOC,64,0.029017s
MALLOC,128,0.071572s
MALLOC,256,0.209109s
MALLOC,512,0.606718s
DYNAMIC,1,0.000160s
DYNAMIC,2,0.000230s
DYNAMIC,4,0.000580s
DYNAMIC,8,0.001858s
DYNAMIC,16,0.005232s
DYNAMIC,32,0.012880s
DYNAMIC,64,0.028861s
DYNAMIC,128,0.071778s
DYNAMIC,256,0.207966s
DYNAMIC,512,0.607126s
STACK,1,0.000184s
STACK,2,0.000241s
STACK,4,0.000571s
STACK,8,0.001858s
STACK,16,0.005256s
STACK,32,0.012800s
STACK,64,0.029001s
STACK,128,0.071696s
STACK,256,0.207989s
STACK,512,0.613966s
EXTERNAL,1,0.000130s
EXTERNAL,2,0.000194s
EXTERNAL,4,0.000496s
EXTERNAL,8,0.001756s
EXTERNAL,16,0.004634s
EXTERNAL,32,0.012612s
EXTERNAL,64,0.031110s
EXTERNAL,128,0.071432s
EXTERNAL,256,0.199784s
EXTERNAL,512,0.626679s
MALLOC,1,0.000355s
MALLOC,2,0.000428s
MALLOC,4,0.000704s
MALLOC,8,0.001961s
MALLOC,16,0.004785s
MALLOC,32,0.012816s
MALLOC,64,0.030651s
MALLOC,128,0.072758s
MALLOC,256,0.205252s
MALLOC,512,0.646954s
DYNAMIC,1,0.000165s
DYNAMIC,2,0.000239s
DYNAMIC,4,0.000556s
DYNAMIC,8,0.001839s
DYNAMIC,16,0.004757s
DYNAMIC,32,0.013112s
DYNAMIC,64,0.032399s
DYNAMIC,128,0.075236s
DYNAMIC,256,0.207406s
DYNAMIC,512,0.644502s
STACK,1,0.000192s
STACK,2,0.000249s
STACK,4,0.000549s
STACK,8,0.001835s
STACK,16,0.004799s
STACK,32,0.013040s
STACK,64,0.032117s
STACK,128,0.073840s
STACK,256,0.205061s
STACK,512,0.643496s
EXTERNAL,1,0.000135s
EXTERNAL,2,0.000213s
EXTERNAL,4,0.000557s
EXTERNAL,8,0.001883s
EXTERNAL,16,0.005348s
EXTERNAL,32,0.013114s
EXTERNAL,64,0.033522s
EXTERNAL,128,0.072833s
EXTERNAL,256,0.214464s
EXTERNAL,512,0.625083s
MALLOC,1,0.000362s
MALLOC,2,0.000455s
MALLOC,4,0.000747s
MALLOC,8,0.002017s
MALLOC,16,0.005246s
MALLOC,32,0.012687s
MALLOC,64,0.032602s
MALLOC,128,0.070052s
MALLOC,256,0.207832s
MALLOC,512,0.647426s
DYNAMIC,1,0.000165s
DYNAMIC,2,0.000255s
DYNAMIC,4,0.000607s
DYNAMIC,8,0.001956s
DYNAMIC,16,0.005370s
DYNAMIC,32,0.013040s
DYNAMIC,64,0.033204s
DYNAMIC,128,0.073577s
DYNAMIC,256,0.215179s
DYNAMIC,512,0.649940s
STACK,1,0.000192s
STACK,2,0.000260s
STACK,4,0.000581s
STACK,8,0.001904s
STACK,16,0.005411s
STACK,32,0.013027s
STACK,64,0.033674s
STACK,128,0.072757s
STACK,256,0.214364s
STACK,512,0.639386s
EXTERNAL,1,0.000136s
EXTERNAL,2,0.000213s
EXTERNAL,4,0.000478s
EXTERNAL,8,0.001885s
EXTERNAL,16,0.004794s
EXTERNAL,32,0.012556s
EXTERNAL,64,0.032454s
EXTERNAL,128,0.076106s
EXTERNAL,256,0.209933s
EXTERNAL,512,0.635184s
MALLOC,1,0.000352s
MALLOC,2,0.000443s
MALLOC,4,0.000686s
MALLOC,8,0.002040s
MALLOC,16,0.004706s
MALLOC,32,0.012074s
MALLOC,64,0.030966s
MALLOC,128,0.074812s
MALLOC,256,0.207251s
MALLOC,512,0.620207s
DYNAMIC,1,0.000159s
DYNAMIC,2,0.000244s
DYNAMIC,4,0.000506s
DYNAMIC,8,0.001842s
DYNAMIC,16,0.004556s
DYNAMIC,32,0.011852s
DYNAMIC,64,0.031328s
DYNAMIC,128,0.074064s
DYNAMIC,256,0.205366s
DYNAMIC,512,0.621562s
STACK,1,0.000187s
STACK,2,0.000250s
